subject_id,file_path,category,meaning,recommended_followup
all,fpreproc/results/batch_processing_summary.json,run_summary,Batch-level provenance for 15 subjects with timing and success flags,Baseline record; rerun after any QC-driven reprocessing to keep in sync.
all,fpreproc/results/logs,logs,Execution logs per subject for debugging warnings/errors,Scan for recurring warnings; keep for provenance when reporting methods.
sub-001,fpreproc/results/sub-001_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 4.26, tSNR 49.7)","High motion (mean FD 4.26, 98.2%>0.5); use as QC gate and reproducibility record."
sub-001,fpreproc/results/preprocessing/sub-001/sub-001_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-001,fpreproc/results/preprocessing/sub-001/sub-001_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-001,fpreproc/results/connectivity/sub-001/sub-001_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-001,fpreproc/results/connectivity/sub-001/sub-001_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 4.26, 98.2%>0.5)"
sub-001,fpreproc/results/connectivity/sub-001/sub-001_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 4.26, 98.2%>0.5)"
sub-001,fpreproc/results/connectivity/sub-001/sub-001_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-001,fpreproc/results/connectivity/sub-001/sub-001_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-001,fpreproc/results/connectivity/sub-001/sub-001_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-001,fpreproc/results/connectivity/sub-001/sub-001_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-001,fpreproc/results/connectivity/sub-001/sub-001_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-001,fpreproc/results/visualization/sub-001/sub-001_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-001,fpreproc/results/visualization/sub-001/sub-001_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-002,fpreproc/results/sub-002_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 28.69, tSNR 20.9)","High motion (mean FD 28.69, 99.6%>0.5); Low tSNR 20.9; use as QC gate and reproducibility record."
sub-002,fpreproc/results/preprocessing/sub-002/sub-002_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-002,fpreproc/results/preprocessing/sub-002/sub-002_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-002,fpreproc/results/connectivity/sub-002/sub-002_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-002,fpreproc/results/connectivity/sub-002/sub-002_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 28.69, 99.6%>0.5); Low tSNR 20.9"
sub-002,fpreproc/results/connectivity/sub-002/sub-002_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 28.69, 99.6%>0.5); Low tSNR 20.9"
sub-002,fpreproc/results/connectivity/sub-002/sub-002_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-002,fpreproc/results/connectivity/sub-002/sub-002_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-002,fpreproc/results/connectivity/sub-002/sub-002_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-002,fpreproc/results/connectivity/sub-002/sub-002_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-002,fpreproc/results/connectivity/sub-002/sub-002_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-002,fpreproc/results/visualization/sub-002/sub-002_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-002,fpreproc/results/visualization/sub-002/sub-002_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
